model,strategy,fold,n_train,n_test,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc
random_forest,random_kfold,0,2000,500,0.812,0.7298953575764584,0.7572815533980582,0.5306122448979592,0.624,0.8514964059278103,0.7324715525142786
random_forest,random_kfold,1,2000,500,0.778,0.6879516679192924,0.6764705882352942,0.46938775510204084,0.5542168674698795,0.8179645795995452,0.6898885626541026
random_forest,random_kfold,2,2000,500,0.768,0.6907941646913722,0.6324786324786325,0.5034013605442177,0.5606060606060606,0.8274074502322175,0.6970520038654525
random_forest,random_kfold,3,2000,500,0.806,0.7316008556397062,0.7232142857142857,0.5510204081632653,0.6254826254826255,0.8402613169913858,0.7176557307634754
random_forest,random_kfold,4,2000,500,0.798,0.7253531941031941,0.7043478260869566,0.5472972972972973,0.6159695817490495,0.8473011363636365,0.7557909619618871
random_forest,spatial_block_cv,0,1999,501,0.656686626746507,0.6857744841615809,0.9022556390977443,0.43010752688172044,0.5825242718446602,0.7663631373308792,0.8181164082763774
random_forest,spatial_block_cv,1,2000,500,0.802,0.5720056697377747,0.36538461538461536,0.2235294117647059,0.2773722627737226,0.7166265060240964,0.37748223956820837
random_forest,spatial_block_cv,2,2000,500,0.694,0.5949032062915911,0.49523809523809526,0.34210526315789475,0.4046692607003891,0.6705043859649122,0.4837109446063176
random_forest,spatial_block_cv,3,2001,499,0.7975951903807615,0.6224117784529095,0.576271186440678,0.3090909090909091,0.40236686390532544,0.7840383267118486,0.5579475338033986
random_forest,spatial_block_cv,4,2000,500,0.9,0.7923076923076924,0.9166666666666666,0.6,0.7252747252747253,0.9161771561771563,0.8458679765252934
xgboost,random_kfold,0,2000,500,0.81,0.7205392071842902,0.7708333333333334,0.5034013605442177,0.6090534979423868,0.8540594708138213,0.7395503181372166
xgboost,random_kfold,1,2000,500,0.78,0.6834133086662427,0.6947368421052632,0.4489795918367347,0.5454545454545454,0.8132046019540962,0.6771042469207917
xgboost,random_kfold,2,2000,500,0.782,0.7126187585515793,0.6557377049180327,0.54421768707483,0.5947955390334573,0.8281975679790329,0.699713087112513
xgboost,random_kfold,3,2000,500,0.802,0.724798134551271,0.7181818181818181,0.5374149659863946,0.6147859922178989,0.8398758937002564,0.7264921410224047
xgboost,random_kfold,4,2000,500,0.796,0.7239327395577395,0.6982758620689655,0.5472972972972973,0.6136363636363636,0.8453624078624079,0.7559724607814077
xgboost,spatial_block_cv,0,1999,501,0.6367265469061876,0.6683134747650876,0.9008264462809917,0.3906810035842294,0.545,0.784389227937615,0.8297956254480132
xgboost,spatial_block_cv,1,2000,500,0.814,0.5932671863926293,0.4230769230769231,0.25882352941176473,0.32116788321167883,0.7069596031183557,0.38452363038066023
xgboost,spatial_block_cv,2,2000,500,0.64,0.582047791893527,0.4125,0.4342105263157895,0.4230769230769231,0.6499924379915305,0.43465723966309755
xgboost,spatial_block_cv,3,2001,499,0.8136272545090181,0.6555153073147931,0.6307692307692307,0.37272727272727274,0.4685714285714286,0.7662537976162656,0.5418279214097084
xgboost,spatial_block_cv,4,2000,500,0.904,0.7981351981351982,0.9305555555555556,0.6090909090909091,0.7362637362637363,0.9228438228438227,0.8627381863711462
lightgbm,random_kfold,0,2000,500,0.798,0.7219652733614692,0.7053571428571429,0.5374149659863946,0.61003861003861,0.8494729336493804,0.7244513051268386
lightgbm,random_kfold,1,2000,500,0.774,0.6831338767801738,0.6666666666666666,0.46258503401360546,0.5461847389558233,0.8039544429669884,0.6607165487149744
lightgbm,random_kfold,2,2000,500,0.782,0.7205584783488466,0.6461538461538462,0.5714285714285714,0.6064981949458483,0.8217609990171705,0.6886444165844716
lightgbm,random_kfold,3,2000,500,0.8,0.737276213601588,0.688,0.5850340136054422,0.6323529411764706,0.8358289491433967,0.7204874607770037
lightgbm,random_kfold,4,2000,500,0.774,0.7063498157248158,0.64,0.5405405405405406,0.5860805860805861,0.8287968366093367,0.729301836741465
lightgbm,spatial_block_cv,0,1999,501,0.6666666666666666,0.6887532693984306,0.8414634146341463,0.4946236559139785,0.6230248306997742,0.7608737770028093,0.81161817262266
lightgbm,spatial_block_cv,1,2000,500,0.808,0.589652728561304,0.4,0.25882352941176473,0.3142857142857143,0.7505315379163714,0.4085270159994427
lightgbm,spatial_block_cv,2,2000,500,0.642,0.5723684210526316,0.40816326530612246,0.39473684210526316,0.4013377926421405,0.6483666061705989,0.43560353689682574
lightgbm,spatial_block_cv,3,2001,499,0.8096192384769539,0.6496845057256369,0.6153846153846154,0.36363636363636365,0.45714285714285713,0.7627950455713952,0.4877585511489978
lightgbm,spatial_block_cv,4,2000,500,0.902,0.7935897435897437,0.9295774647887324,0.6,0.7292817679558011,0.9193240093240093,0.8470892082739461
mlp,random_kfold,0,2000,500,0.814,0.7174172785261413,0.8068181818181818,0.48299319727891155,0.6042553191489362,0.8500703397506312,0.726857447128895
mlp,random_kfold,1,2000,500,0.774,0.643435277793837,0.7741935483870968,0.32653061224489793,0.45933014354066987,0.7782081671195391,0.650369592142574
mlp,random_kfold,2,2000,500,0.796,0.6987146133240831,0.7472527472527473,0.46258503401360546,0.5714285714285714,0.8138405503844597,0.6912351484380453
mlp,random_kfold,3,2000,500,0.8,0.7154419841591028,0.7281553398058253,0.5102040816326531,0.6,0.813204601954096,0.6924698401409383
mlp,random_kfold,4,2000,500,0.808,0.7167920761670762,0.776595744680851,0.49324324324324326,0.6033057851239669,0.8513129606879606,0.755629350899085
mlp,spatial_block_cv,0,1999,501,0.6826347305389222,0.6961881236074785,0.7970297029702971,0.5770609318996416,0.6694386694386695,0.7416610158545642,0.8120655729441679
mlp,spatial_block_cv,1,2000,500,0.822,0.5980864635010631,0.4583333333333333,0.25882352941176473,0.3308270676691729,0.7402126151665485,0.3831555513796616
mlp,spatial_block_cv,2,2000,500,0.712,0.6189503932244405,0.5370370370370371,0.3815789473684211,0.4461538461538462,0.6689919842710224,0.5175378678778413
mlp,spatial_block_cv,3,2001,499,0.7955911823647295,0.5689647113811638,0.6428571428571429,0.16363636363636364,0.2608695652173913,0.6920074783827997,0.4444532850830559
mlp,spatial_block_cv,4,2000,500,0.884,0.7396270396270397,0.9814814814814815,0.4818181818181818,0.6463414634146342,0.8838927738927738,0.7884015279879455
logistic_regression,random_kfold,0,2000,500,0.786,0.6757530207550442,0.75,0.40816326530612246,0.5286343612334802,0.8172708176755121,0.6866172445302353
logistic_regression,random_kfold,1,2000,500,0.764,0.6462777745659171,0.6883116883116883,0.36054421768707484,0.4732142857142857,0.761827677246536,0.6316701173913005
logistic_regression,random_kfold,2,2000,500,0.786,0.677737950704361,0.7439024390243902,0.41496598639455784,0.5327510917030568,0.787959376385115,0.6495035738183118
logistic_regression,random_kfold,3,2000,500,0.758,0.6519531325277986,0.6444444444444445,0.3945578231292517,0.48945147679324896,0.7608448478541556,0.6131396924020616
logistic_regression,random_kfold,4,2000,500,0.806,0.7016661547911548,0.8148148148148148,0.44594594594594594,0.5764192139737991,0.7999270577395577,0.7048947881460031
logistic_regression,spatial_block_cv,0,1999,501,0.6107784431137725,0.6431754334980141,0.8620689655172413,0.35842293906810035,0.5063291139240507,0.6920307404178372,0.7746108413344526
logistic_regression,spatial_block_cv,1,2000,500,0.824,0.5852586817859674,0.4634146341463415,0.2235294117647059,0.30158730158730157,0.6896669029057405,0.3803080544758052
logistic_regression,spatial_block_cv,2,2000,500,0.686,0.6002722323049002,0.4793388429752066,0.3815789473684211,0.4249084249084249,0.628573049001815,0.48613200464256334
logistic_regression,spatial_block_cv,3,2001,499,0.8076152304609219,0.6060177611591493,0.675,0.24545454545454545,0.36,0.7250993222715587,0.5112528171181007
logistic_regression,spatial_block_cv,4,2000,500,0.81,0.5681818181818181,1.0,0.13636363636363635,0.24,0.8865034965034964,0.7899393781069319
