strategy,model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
random_kfold,random_forest,0.7924,0.018729655629509068,0.7131190479860047,0.021820251730795975,0.6987585771826454,0.04728648234298287,0.5203438132009561,0.034119463037741216,0.596055027061523,0.03553362974192442,0.8368861778229191,0.01397493154861453,0.7185717623518393,0.02676349215935754
spatial_block_cv,random_forest,0.7700563634254538,0.09656785076574045,0.6534805661903097,0.08853050815972112,0.65116324056556,0.24755320397786068,0.38096662217904603,0.1430500329383065,0.4784414768997645,0.17565477235287502,0.7707419024417785,0.0926329009453887,0.6166250205559191,0.2070323531013676
random_kfold,xgboost,0.794,0.012884098726725132,0.7130604297022245,0.01725586717953765,0.7075531121214826,0.04198963073921549,0.5162621805478949,0.04148637301414733,0.5955451876569304,0.029110170321325842,0.836139988461923,0.01588420483293607,0.7197664507948668,0.031502827292053774
spatial_block_cv,xgboost,0.7616707602830411,0.11843803175525,0.659455791700247,0.08616683474844646,0.6595456311365402,0.24971978589186072,0.41310664822599313,0.12727125405163875,0.49881599422475337,0.15550272070390556,0.7660877779015178,0.10232509133141175,0.6107085206545251,0.22271972688071018
random_kfold,lightgbm,0.7856,0.0126806939873179,0.7138567315633787,0.020367753867591043,0.6692355311355311,0.027617728238227005,0.5394006251149108,0.04747123543735109,0.5962310142394677,0.032436550250554815,0.8279628322772545,0.01688284122915968,0.7047203135889506,0.029312676547862057
spatial_block_cv,lightgbm,0.7656571810287242,0.1088636319578136,0.6588097336655494,0.0886006885886622,0.6389177520227233,0.24310026118835235,0.42236407821347405,0.13012848171633837,0.5050145925452575,0.16855286200969813,0.7683781951970368,0.0969451021601592,0.5981192969883745,0.21336815960540648
random_kfold,mlp,0.7984,0.015323185047502361,0.6983602459940481,0.031668463568647005,0.7666031123889404,0.030113896607169136,0.45511123368266226,0.0739180455691641,0.5676639638484289,0.06205899377460804,0.8213273239793374,0.030440891267793722,0.7033122757499075,0.039867889989998136
spatial_block_cv,mlp,0.7792451825807303,0.08204302517288775,0.6443633462682371,0.07112190419011061,0.6833477395358584,0.20945471466439972,0.37258359082687453,0.1661508280481239,0.47072612237874284,0.18340034161453697,0.7453531735135417,0.08353153993110751,0.5891227610545344,0.19867792403409537
random_kfold,logistic_regression,0.78,0.019287301521985926,0.6706776066688551,0.02225902142550706,0.7282946773190676,0.06486516479110582,0.40483544769259056,0.03110915409154743,0.5200940858835741,0.04044237044709974,0.7855659553801753,0.024453052081043293,0.6571650832575825,0.038054177115523
spatial_block_cv,logistic_regression,0.747678734714939,0.09466680426669115,0.6005811853859698,0.027966139759429437,0.6959644885277579,0.23530507026796388,0.2690698960038818,0.10109998117927067,0.36656496808395544,0.10394934164296873,0.7243747022200895,0.09710173912921884,0.5884486191355707,0.18371531987847275
